,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,0.021675729751586915,0.004933857317709659,0.008774852752685547,0.0014023828863083039,10.0,0.0,"{'model__C': 10.0, 'model__l1_ratio': 0}",0.965143738403335,0.9519059967893002,0.9581882770870338,0.9618222626805574,0.9649831172817643,0.9604086784483983,0.0049511671634064934,18,0.9750924258223528,0.9710811679351832,0.9650496726676494,0.9633477609440779,0.9630492547811796,0.9675240564300888,0.00476489509443412
21,0.023427677154541016,0.006757648074385333,0.00845022201538086,0.0011688627801742883,10.0,0.25,"{'model__C': 10.0, 'model__l1_ratio': 0.25}",0.9651630159762886,0.9519059967893002,0.9581882770870338,0.9618246709147918,0.9649807560624306,0.9604125433659689,0.004954560658954496,16,0.9750947957152337,0.9710811679351832,0.9650515268666817,0.9633483558562109,0.9630496363845031,0.9675250965515627,0.0047652794806389434
22,0.022054100036621095,0.008709499159668352,0.009593725204467773,0.003682101294480525,10.0,0.5,"{'model__C': 10.0, 'model__l1_ratio': 0.5}",0.965167835369527,0.9519083715672584,0.9581835405565424,0.9618270791490263,0.9649831172817642,0.9604139887848235,0.00495566827987181,15,0.9750924258223529,0.9710841545539365,0.9650512619811057,0.9633486533122775,0.9630498271861648,0.9675252645711675,0.004764912119262937
23,0.023598527908325194,0.006393238987357672,0.013427209854125977,0.0036840703719122794,10.0,0.75,"{'model__C': 10.0, 'model__l1_ratio': 0.75}",0.9651630159762885,0.9519059967893002,0.9581835405565424,0.9618270791490263,0.964978394843097,0.9604116054628509,0.004954688385787609,17,0.9750853161437103,0.9710841545539365,0.9650541757224423,0.963348355856211,0.9630503995911502,0.96752448037349,0.004762296456855416
24,0.02869420051574707,0.013722755137367837,0.022502374649047852,0.02885297216583376,10.0,1.0,"{'model__C': 10.0, 'model__l1_ratio': 1}",0.9651702450661462,0.9519131211231749,0.9581788040260509,0.9618318956174954,0.9649807560624306,0.9604149643790596,0.004954767282433625,14,0.9750995355009954,0.9710865438489392,0.9650533810657141,0.9633470173039116,0.9630506857936427,0.9675274327026407,0.004767432857123222
25,0.022090864181518555,0.006260125113865291,0.00768733024597168,0.00021169384207762504,100.0,0.0,"{'model__C': 100.0, 'model__l1_ratio': 0}",0.965119641437143,0.9519107463452168,0.9581906453522795,0.9618246709147918,0.964985478501098,0.9604062365101058,0.004945296688754797,23,0.975090055929472,0.9710740000501752,0.9650470238118889,0.9633479096721111,0.9630489685786869,0.9675215916084667,0.004763375302603988
26,0.023366594314575197,0.006899131469610084,0.011208772659301758,0.0037440684999722985,100.0,0.25,"{'model__C': 100.0, 'model__l1_ratio': 0.25}",0.9651220511337624,0.9519107463452168,0.9581906453522795,0.9618246709147918,0.964985478501098,0.9604067184494298,0.00494575610187548,22,0.975090055929472,0.9710769866689285,0.965047288697465,0.9633473147599783,0.9630491593803487,0.9675221610872384,0.004763861810151118
27,0.021294403076171874,0.004576121569760346,0.009613800048828124,0.0021992618018868166,100.0,0.5,"{'model__C': 100.0, 'model__l1_ratio': 0.5}",0.9651244608303815,0.9519107463452168,0.9581906453522795,0.9618246709147918,0.964985478501098,0.9604072003887536,0.004946215660157935,19,0.9750876860365911,0.9710775839926793,0.9650480833541931,0.963346571119812,0.9630492547811796,0.9675218358568911,0.004763227945310635
28,0.02375202178955078,0.005906828748271605,0.012087392807006835,0.0035190119242787883,100.0,0.75,"{'model__C': 100.0, 'model__l1_ratio': 0.75}",0.9651244608303815,0.9519107463452168,0.9581906453522795,0.9618222626805574,0.964985478501098,0.9604067187419068,0.0049460777232376235,21,0.9750876860365911,0.97107818131643,0.9650483482397693,0.9633464223917789,0.9630495409836722,0.9675220357936484,0.0047632619453288755
29,0.02271304130554199,0.004340071208121436,0.014018821716308593,0.003860011210894749,100.0,1.0,"{'model__C': 100.0, 'model__l1_ratio': 1}",0.9651268705270006,0.9519107463452168,0.9581882770870338,0.9618222626805574,0.964985478501098,0.9604067270281813,0.0049467498176078055,20,0.9750876860365911,0.97107818131643,0.965047818468617,0.9633465711198121,0.9630495409836723,0.9675219595850244,0.004763290899953579
